Combination           ,Alpha ,Bins ,sigma ,Quocient ,Failures ,FPS  ,Overlap
"[0.125, 16, 50, 1]"  ,0.125 ,16.0 , 50.0 ,     1.0 ,    38.0 ,89.0 ,  0.495
"[0.125, 16, 50, 2]"  ,0.125 ,16.0 , 50.0 ,     2.0 ,    41.0 ,89.0 ,  0.498
"[0.125, 16, 50, 3]"  ,0.125 ,16.0 , 50.0 ,     3.0 ,    38.0 ,88.0 ,  0.493
"[0.125, 16, 50, 4]"  ,0.125 ,16.0 , 50.0 ,     4.0 ,    42.0 ,90.0 ,  0.479
"[0.125, 16, 50, 5]"  ,0.125 ,16.0 , 50.0 ,     5.0 ,    37.0 ,89.0 ,  0.486
"[0.125, 16, 100, 1]" ,0.125 ,16.0 ,100.0 ,     1.0 ,    38.0 ,90.0 ,  0.478
"[0.125, 16, 100, 2]" ,0.125 ,16.0 ,100.0 ,     2.0 ,    41.0 ,90.0 ,  0.479
"[0.125, 16, 100, 3]" ,0.125 ,16.0 ,100.0 ,     3.0 ,    40.0 ,90.0 ,  0.468
"[0.125, 16, 100, 4]" ,0.125 ,16.0 ,100.0 ,     4.0 ,    37.0 ,89.0 ,  0.475
"[0.125, 16, 100, 5]" ,0.125 ,16.0 ,100.0 ,     5.0 ,    41.0 ,90.0 ,  0.473
